# MPC_PARAMS wheelbase_m=1.04 forward_speed_kmh=3 prediction_horizon=15 dt=0.1 use_dbm=1 w_d=1 w_theta=0.5 w_kappa=0.05 w_u=0.2 w_xy=2 w_psi=1 w_vx=0.5 w_vy=0.3 w_omega=0.3 w_delta_c=0.1 w_u_delta=0.2 w_u_torque=1e-05 mass_kg=150 inertia_kgm2=120 lf_m=0.52 lr_m=0.52 Ca_N_rad=25000 Cx_N=30000 mu=0.8
timestamp_sec,x_m,y_m,yaw_deg,vx_mps,vy_mps,omega_rads,ref_x_m,ref_y_m,ref_yaw_deg,ref_kappa,cte_m,heading_err_deg,cmd_steer_deg,cmd_speed_pwm,cmd_torque,mpc_cost,nearest_idx,path_size,path_progress,dist_to_goal_m,path_len_m
1774635990.4701,-13.939815,9.450122,109.413374,0.0374,-0.0559,0.0000,-14.505274,10.589322,35.583775,1.107472,-1.255509,73.8296,-0.0000,0.0000,0.000000,0.000000,1,282,0.0028,2.2737,35.2289
1774635990.5201,-13.944060,9.446591,109.302691,0.0352,-0.0496,0.0000,-14.505274,10.589322,35.583775,1.107472,-1.255910,73.7189,-0.0000,0.0000,0.000000,0.000000,1,282,0.0028,2.2777,35.2289
1774635990.5701,-13.942185,9.449171,109.000221,0.0357,-0.0536,0.0000,-14.505274,10.589322,35.583775,1.107472,-1.254902,73.4164,-0.0000,0.0000,0.000000,0.000000,1,282,0.0028,2.2749,35.2289
1774635990.6201,-13.940152,9.451820,103.862881,0.0430,-0.0554,0.0000,-14.505274,10.589322,35.583775,1.107472,-1.253932,68.2791,-0.0000,0.0000,0.000000,0.000000,1,282,0.0028,2.2721,35.2289
1774635990.6701,-13.944051,9.449145,105.094546,0.0412,-0.0503,0.0000,-14.505274,10.589322,35.583775,1.107472,-1.253838,69.5108,-55.0000,8.0798,1.166244,0.000000,1,282,0.0028,2.2751,35.2289
1774635990.7201,-13.942094,9.451802,109.453214,0.0365,-0.0561,0.0000,-14.505274,10.589322,35.583775,1.107472,-1.252817,73.8694,-55.0000,8.2062,1.180127,0.000000,1,282,0.0028,2.2723,35.2289
1774635990.7701,-13.939956,9.454909,139.885371,0.0267,-0.0776,0.0000,-14.505274,10.589322,35.583775,1.107472,-1.251533,104.3016,-55.0000,8.3849,1.174997,0.000000,1,282,0.0028,2.2690,35.2289
1774635990.8201,-13.942534,9.450171,109.850886,0.0338,-0.0243,0.0000,-14.505274,10.589322,35.583775,1.107472,-1.253887,74.2671,-55.0000,8.3939,1.132334,0.000000,1,282,0.0028,2.2740,35.2289
1774635990.8701,-13.941862,9.452622,109.582060,0.0516,-0.0397,0.0000,-14.505274,10.589322,35.583775,1.107472,-1.252284,73.9983,-55.0000,8.2937,-0.895365,0.000000,1,282,0.0028,2.2715,35.2289
1774635990.9201,-13.940548,9.455889,109.402870,0.0465,-0.0429,0.0000,-14.505274,10.589322,35.583775,1.107472,-1.250392,73.8191,-55.0000,8.4242,1.179691,0.000000,1,282,0.0028,2.2681,35.2289
