# MPC_PARAMS wheelbase_m=1.04 forward_speed_kmh=3 prediction_horizon=15 dt=0.1 use_dbm=1 w_d=1 w_theta=0.5 w_kappa=0.05 w_u=0.2 w_xy=2 w_psi=1 w_vx=0.5 w_vy=0.3 w_omega=0.3 w_delta_c=0.1 w_u_delta=0.2 w_u_torque=1e-05 mass_kg=150 inertia_kgm2=120 lf_m=0.52 lr_m=0.52 Ca_N_rad=25000 Cx_N=30000 mu=0.8
timestamp_sec,x_m,y_m,yaw_deg,vx_mps,vy_mps,omega_rads,ref_x_m,ref_y_m,ref_yaw_deg,ref_kappa,cte_m,heading_err_deg,cmd_steer_deg,cmd_speed_pwm,cmd_torque,mpc_cost,nearest_idx,path_size,path_progress,dist_to_goal_m,path_len_m
1774632906.9955,1.084874,0.739349,122.330895,0.0963,0.1839,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.273865,149.6287,-1.0000,0.0000,0.000000,0.000000,1,372,0.0027,2.3092,43.8604
1774632907.0454,1.083310,0.739324,119.685824,0.0891,0.1791,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.273126,146.9836,-55.0000,7.6005,0.618086,0.000000,1,372,0.0027,2.3103,43.8604
1774632907.0955,1.072833,0.738839,117.035525,0.0951,0.2038,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.267890,144.3333,-55.0000,7.6111,0.816765,0.000000,1,372,0.0027,2.3178,43.8604
1774632907.1455,1.088246,0.744403,114.435730,0.0828,0.1565,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.279903,141.7335,-55.0000,7.8279,0.750218,0.000000,1,372,0.0027,2.3032,43.8604
1774632907.1953,1.078237,0.744784,111.727543,0.0880,0.2017,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.275651,139.0253,-55.0000,7.8458,0.872758,0.000000,1,372,0.0027,2.3098,43.8604
1774632907.2454,1.065879,0.745601,109.026459,0.1082,0.2335,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.270709,136.3242,-55.0000,7.6859,0.772437,0.000000,1,372,0.0027,2.3178,43.8604
1774632907.2955,1.089756,0.748195,106.491457,0.0818,0.1582,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.283965,133.7892,-55.0000,7.7540,0.636078,0.000000,1,372,0.0027,2.2994,43.8604
1774632907.3454,1.080903,0.750106,103.809791,0.0870,0.1739,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.281603,131.1076,-55.0000,8.0790,0.594800,0.000000,1,372,0.0027,2.3041,43.8604
1774632907.3953,1.094024,0.751018,101.201622,0.0747,0.1417,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.288431,128.4994,-55.0000,8.0935,0.841419,0.000000,1,372,0.0027,2.2944,43.8604
1774632907.4455,1.086719,0.753459,98.519276,0.0712,0.1339,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.287250,125.8171,-55.0000,8.3541,0.753664,0.000000,1,372,0.0027,2.2977,43.8604
1774632907.4954,1.096189,0.753412,95.904811,0.0630,0.1070,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.291551,123.2026,-55.0000,8.4019,0.936866,0.000000,1,372,0.0027,2.2912,43.8604
1774632907.5453,1.090108,0.756269,93.239718,0.0723,0.1277,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.291301,120.5375,-55.0000,8.5150,0.899784,0.000000,1,372,0.0027,2.2933,43.8604
1774632907.5954,1.094705,0.757243,90.566248,0.0744,0.1261,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.294275,117.8640,-55.0000,8.5011,0.959472,0.000000,1,372,0.0027,2.2894,43.8604
1774632907.6454,1.092460,0.759002,87.915201,0.0764,0.1280,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.294808,115.2130,-55.0000,8.6256,0.880857,0.000000,1,372,0.0027,2.2897,43.8604
1774632907.6953,1.085763,0.763553,85.236299,0.0869,0.1516,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.295782,112.5341,-55.0000,8.5965,0.941553,0.000000,1,372,0.0027,2.2910,43.8604
1774632907.7453,1.078130,0.768985,82.567921,0.0964,0.1765,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.297108,109.8657,-55.0000,8.5737,0.875168,0.000000,1,372,0.0027,2.2924,43.8604
1774632907.7954,1.100523,0.761798,79.981017,0.0819,0.1188,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.300991,107.2788,-55.0000,8.5447,0.805050,0.000000,1,372,0.0027,2.2821,43.8604
1774632907.8453,1.094976,0.767419,77.292848,0.0930,0.1429,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.303442,104.5906,-55.0000,8.7560,0.733296,0.000000,1,372,0.0027,2.2819,43.8604
1774632907.8954,1.088657,0.774013,74.613351,0.1012,0.1668,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.306404,101.9111,-55.0000,8.7463,0.887878,0.000000,1,372,0.0027,2.2815,43.8604
1774632907.9453,1.081583,0.781590,71.939902,0.1085,0.1934,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.309892,99.2377,-55.0000,8.7409,0.824045,0.000000,1,372,0.0027,2.2810,43.8604
1774632907.9954,1.106460,0.766902,69.368459,0.0870,0.1245,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.308250,96.6662,-55.0000,8.7384,0.752175,0.000000,1,372,0.0027,2.2743,43.8604
1774632908.0453,1.101867,0.773740,66.681031,0.0968,0.1484,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.312219,93.9788,-55.0000,9.0045,0.681168,0.000000,1,372,0.0027,2.2725,43.8604
1774632908.0953,1.096658,0.781715,63.990304,0.1052,0.1732,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.316917,91.2881,-55.0000,8.9975,0.872218,0.000000,1,372,0.0027,2.2704,43.8604
1774632908.1454,1.110583,0.772323,61.388046,0.0948,0.1372,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.314958,88.6858,-55.0000,9.1721,0.805004,0.000000,1,372,0.0027,2.2676,43.8604
1774632908.1952,1.106651,0.780339,58.720076,0.1045,0.1607,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.320277,86.0179,-55.0000,9.1461,0.901479,0.000000,1,372,0.0027,2.2645,43.8604
1774632908.2453,1.102272,0.789605,56.036570,0.1128,0.1869,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.326504,83.3344,-55.0000,9.1335,0.834492,0.000000,1,372,0.0027,2.2608,43.8604
1774632908.2953,1.116534,0.772918,53.460860,0.0916,0.1343,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.318215,80.7586,-55.0000,9.4226,0.764475,0.000000,1,372,0.0027,2.2630,43.8604
1774632908.3453,1.113724,0.781215,50.786084,0.1009,0.1584,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.324300,78.0839,-55.0000,9.4020,0.913390,0.000000,1,372,0.0027,2.2590,43.8604
1774632908.3954,1.110655,0.790772,48.107014,0.1090,0.1845,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.331385,75.4048,-55.0000,9.3912,0.846535,0.000000,1,372,0.0027,2.2542,43.8604
1774632908.4452,1.119403,0.778617,45.495892,0.0959,0.1498,0.0000,1.140775,0.402312,-27.297783,-0.993336,0.324596,72.7937,-55.0000,9.6001,0.776032,0.000000,1,372,0.0027,2.2569,43.8604
