# MPC_PARAMS wheelbase_m=1.04 forward_speed_kmh=3 prediction_horizon=15 dt=0.1 use_dbm=1 w_d=1 w_theta=0.5 w_kappa=0.05 w_u=0.2 w_xy=2 w_psi=1 w_vx=0.5 w_vy=0.3 w_omega=0.3 w_delta_c=0.1 w_u_delta=0.2 w_u_torque=1e-05 mass_kg=150 inertia_kgm2=120 lf_m=0.52 lr_m=0.52 Ca_N_rad=25000 Cx_N=30000 mu=0.8
timestamp_sec,x_m,y_m,yaw_deg,vx_mps,vy_mps,omega_rads,ref_x_m,ref_y_m,ref_yaw_deg,ref_kappa,cte_m,heading_err_deg,cmd_steer_deg,cmd_speed_pwm,cmd_torque,mpc_cost,nearest_idx,path_size,path_progress,dist_to_goal_m,path_len_m
1774632196.5617,-0.028741,0.849955,81.297528,0.1235,0.0621,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.548759,-144.5121,-2.0000,0.0000,0.000000,0.000000,31,32,1.0000,3994333.1759,3.5192
1774632196.6117,-0.031081,0.856822,82.027586,0.1342,0.0685,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.542294,-143.7820,55.0000,7.1322,0.000021,0.000000,31,32,1.0000,3994333.1693,3.5192
1774632196.6617,-0.033550,0.864320,82.746155,0.1501,0.0712,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.535297,-143.0634,55.0000,7.0420,0.000038,0.000000,31,32,1.0000,3994333.1622,3.5192
1774632196.7117,-0.001522,0.827571,83.750927,0.0818,-0.0031,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.583879,-142.0587,55.0000,7.7998,0.000020,0.000000,31,32,1.0000,3994333.1950,3.5192
1774632196.7618,-0.000592,0.831412,84.369786,0.0934,-0.0202,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.581868,-141.4398,55.0000,7.7998,0.000020,0.000000,31,32,1.0000,3994333.1911,3.5192
1774632196.8117,0.001409,0.836684,85.096849,0.1055,-0.0289,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.579628,-140.7127,55.0000,7.7212,0.000022,0.000000,31,32,1.0000,3994333.1857,3.5192
1774632196.8617,0.004086,0.841842,85.807006,0.1152,-0.0476,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.577952,-140.0026,55.0000,7.6841,0.000021,0.000000,31,32,1.0000,3994333.1802,3.5192
1774632196.9117,0.028103,0.810992,86.729237,0.0528,-0.0897,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.616677,-139.0803,55.0000,8.3865,0.000040,0.000000,31,32,1.0000,3994333.2081,3.5192
1774632196.9617,0.032137,0.813342,87.462994,0.0610,-0.0759,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.617932,-138.3466,55.0000,8.3865,0.000040,0.000000,31,32,1.0000,3994333.2054,3.5192
1774632197.0117,0.047632,0.799157,88.396850,0.0259,-0.0925,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.638929,-137.4127,55.0000,8.8131,0.000022,0.000000,31,32,1.0000,3994333.2177,3.5192
1774632197.0617,0.052224,0.800392,89.194019,0.0287,-0.0921,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.641361,-136.6156,55.0000,8.8661,0.000022,0.000000,31,32,1.0000,3994333.2159,3.5192
1774632197.1117,0.058964,0.791975,90.031982,0.0116,-0.0917,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.652060,-135.7776,55.0000,9.1196,0.000022,0.000000,31,32,1.0000,3994333.2235,3.5192
1774632197.1617,0.063475,0.792652,90.859504,0.0144,-0.0851,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.654823,-134.9501,55.0000,9.1783,0.000022,0.000000,31,32,1.0000,3994333.2223,3.5192
1774632197.2117,0.067522,0.793511,91.656373,0.0197,-0.0778,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.657126,-134.1532,55.0000,9.2084,0.000022,0.000000,31,32,1.0000,3994333.2210,3.5192
1774632197.2617,0.071262,0.794743,92.462758,0.0250,-0.0722,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.658949,-133.3468,55.0000,9.2084,0.000022,0.000000,31,32,1.0000,3994333.2194,3.5192
1774632197.3117,0.077373,0.786977,93.294605,0.0062,-0.0783,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.668744,-132.5150,55.0000,9.4998,0.000022,0.000000,31,32,1.0000,3994333.2264,3.5192
1774632197.3617,0.081212,0.787615,94.122306,0.0071,-0.0757,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.671052,-131.6873,55.0000,9.5637,0.000022,0.000000,31,32,1.0000,3994333.2253,3.5192
1774632197.4117,0.082283,0.776312,94.946433,-0.0156,-0.0615,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.679698,-130.8631,60.0000,9.5637,0.000022,0.000000,31,32,1.0000,3994333.2364,3.5192
1774632197.4618,0.085272,0.775886,95.744776,-0.0123,-0.0553,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.682139,-130.0648,55.0000,9.9369,0.000023,0.000000,31,32,1.0000,3994333.2365,3.5192
1774632197.5117,0.088096,0.775714,96.552453,-0.0071,-0.0575,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.684284,-129.2571,55.0000,9.9695,0.000023,0.000000,31,32,1.0000,3994333.2364,3.5192
1774632197.5617,0.090753,0.775787,97.359114,-0.0040,-0.0508,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.686138,-128.4505,55.0000,10.0221,0.000023,0.000000,31,32,1.0000,3994333.2360,3.5192
1774632197.6119,0.094468,0.767748,98.186448,-0.0208,-0.0503,0.0000,453751.560613,3968477.511749,-134.190421,0.000000,2440855.694406,-127.6231,55.0000,10.2755,0.000023,0.000000,31,32,1.0000,3994333.2436,3.5192
