# MPC_PARAMS wheelbase_m=1.04 forward_speed_kmh=3 prediction_horizon=15 dt=0.1 use_dbm=1 w_d=1 w_theta=0.5 w_kappa=0.05 w_u=0.2 w_xy=2 w_psi=1 w_vx=0.5 w_vy=0.3 w_omega=0.3 w_delta_c=0.1 w_u_delta=0.2 w_u_torque=1e-05 mass_kg=150 inertia_kgm2=120 lf_m=0.52 lr_m=0.52 Ca_N_rad=25000 Cx_N=30000 mu=0.8
timestamp_sec,x_m,y_m,yaw_deg,vx_mps,vy_mps,omega_rads,ref_x_m,ref_y_m,ref_yaw_deg,ref_kappa,cte_m,heading_err_deg,cmd_steer_deg,cmd_speed_pwm,cmd_torque,mpc_cost,nearest_idx,path_size,path_progress,dist_to_goal_m,path_len_m
1774637873.2864,-6.944414,5.906728,97.940199,-0.2017,-0.0357,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.484300,119.8522,1.0000,16.0000,0.000000,0.000000,5,390,0.0139,6.6334,49.4019
1774637873.3364,-6.938424,5.895996,94.751167,-0.2211,-0.0565,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.492021,116.6631,-0.0000,13.0000,0.000000,0.000000,5,390,0.0139,6.6278,49.4019
1774637873.3864,-6.952179,5.912411,90.265218,-0.1737,-0.0424,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.481924,112.1772,-0.0000,13.0000,0.000000,0.000000,5,390,0.0139,6.6410,49.4019
1774637873.4365,-6.951312,5.903919,84.500462,-0.1787,-0.0537,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.489480,106.4124,-0.0000,0.0000,0.000000,0.000000,5,390,0.0139,6.6404,49.4019
1774637873.4865,-6.954510,5.898535,75.500124,-0.1582,-0.0535,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.495668,97.4121,1.0000,0.0000,0.000000,0.000000,5,390,0.0139,6.6438,49.4019
1774637873.5364,-6.963637,5.903896,57.417374,-0.0972,-0.0237,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.494101,79.3293,-0.0000,0.0000,0.000000,0.000000,5,390,0.0139,6.6527,49.4019
1774637873.5863,-6.974702,5.931959,30.304056,-0.0416,0.0538,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.472194,52.2160,-0.0000,0.0000,0.000000,0.000000,5,390,0.0139,6.6630,49.4019
1774637873.6363,-6.978251,5.935129,19.792603,-0.0500,0.0712,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.470577,41.7046,-0.0000,0.0000,0.000000,0.000000,5,390,0.0139,6.6665,49.4019
1774637873.6865,-6.980636,5.941957,14.931152,-0.0479,0.0832,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.465133,36.8431,0.0000,0.0000,0.000000,0.000000,5,390,0.0139,6.6687,49.4019
1774637873.7364,-6.984212,5.944361,11.595623,-0.0550,0.0873,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.464237,33.5076,-55.0000,8.9965,1.167645,0.000000,5,390,0.0139,6.6723,49.4019
1774637873.7864,-6.988241,5.947365,9.096951,-0.0651,0.1252,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.462953,31.0089,0.0000,9.2112,1.140879,0.000000,5,390,0.0139,6.6762,49.4019
1774637873.8364,-6.992964,5.951388,7.410045,-0.0690,0.1238,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.460983,29.3220,-0.0219,9.3489,1.125407,0.000000,5,390,0.0139,6.6809,49.4019
1774637873.8863,-6.989417,5.945367,6.137758,-0.0599,0.0979,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.465246,28.0497,0.0000,9.4851,1.015113,0.000000,5,390,0.0139,6.6774,49.4019
1774637873.9364,-6.992985,5.948555,5.346274,-0.0375,0.0738,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.463620,27.2582,22.4203,9.4621,1.019889,0.000000,5,390,0.0139,6.6809,49.4019
1774637873.9863,-6.989838,5.944043,4.971357,-0.0437,0.0533,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.466631,26.8833,29.1429,9.3826,1.094726,0.000000,5,390,0.0139,6.6779,49.4019
1774637874.0363,-6.992021,5.945000,4.911500,-0.0474,0.0355,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.466558,26.8235,32.5441,9.4484,1.167832,0.000000,5,390,0.0139,6.6801,49.4019
1774637874.0865,-6.988826,5.941373,5.430943,-0.0221,-0.0031,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.468730,27.3429,-10.0000,9.7316,1.247043,0.000000,5,390,0.0139,6.6769,49.4019
1774637874.1364,-6.988687,5.939150,6.852724,-0.0110,-0.0530,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.470742,28.7647,33.0618,9.5088,1.205030,0.000000,5,390,0.0139,6.6769,49.4019
1774637874.1864,-6.987376,5.936268,8.441528,-0.0095,-0.0584,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.472926,30.3535,-10.0000,9.4480,-0.848335,0.000000,5,390,0.0139,6.6756,49.4019
1774637874.2364,-6.982484,5.931653,12.319425,0.0120,-0.0988,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.475382,34.2314,25.3571,9.4477,1.265302,0.000000,5,390,0.0139,6.6708,49.4019
1774637874.2864,-6.985012,5.930883,16.285010,0.0094,-0.1258,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.477040,38.1970,1.0000,9.3246,1.227156,0.000000,5,390,0.0139,6.6734,49.4019
1774637874.3364,-6.980890,5.924264,20.096562,0.0044,-0.1599,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.481642,42.0085,-4.3845,9.4731,1.122390,0.000000,5,390,0.0139,6.6694,49.4019
1774637874.3863,-6.981024,5.931495,23.923300,-0.0148,-0.1562,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.474983,45.8353,21.0000,9.6263,1.052020,0.000000,5,390,0.0139,6.6694,49.4019
1774637874.4363,-6.981717,5.922345,29.516860,-0.0527,-0.2055,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.483732,51.4288,-55.0000,9.8879,0.964518,0.000000,5,390,0.0139,6.6703,49.4019
1774637874.4865,-6.980428,5.911556,40.300181,-0.1043,-0.2022,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.493259,62.2122,29.0000,10.3625,0.968726,0.000000,5,390,0.0139,6.6693,49.4019
1774637874.5363,-6.977140,5.900124,35.146749,-0.1039,-0.2356,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.502639,57.0587,-55.0000,10.9598,0.823656,0.000000,5,390,0.0139,6.6663,49.4019
1774637874.5863,-6.977833,5.909318,55.914234,-0.1872,-0.1605,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.494367,77.8262,29.0000,9.0243,0.772303,0.000000,5,390,0.0139,6.6668,49.4019
1774637874.6364,-6.975882,5.896697,54.781881,-0.2095,-0.1747,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.505349,76.6939,55.0000,8.9756,0.698351,0.000000,5,390,0.0139,6.6652,49.4019
1774637874.6863,-6.973602,5.882795,-15.904696,0.1037,-0.2921,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.517395,6.0073,9.0000,-3.9507,0.733574,0.000000,5,390,0.0139,6.6633,49.4019
1774637874.7364,-6.971392,5.867868,109.016789,-0.3056,0.0990,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.530420,130.9288,55.0000,-3.6940,0.616730,0.000000,5,390,0.0139,6.6616,49.4019
1774637874.7864,-6.982213,5.892170,114.585220,-0.2150,0.1414,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.511911,136.4972,-29.0000,-3.6493,0.541148,0.000000,5,390,0.0139,6.6716,49.4019
1774637874.8364,-6.982715,5.879579,113.433135,-0.2230,0.1531,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.523780,135.3451,18.1017,-4.6812,0.489178,0.000000,5,390,0.0139,6.6725,49.4019
1774637874.8863,-6.981854,5.894906,113.671516,-0.1864,0.1373,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.509239,135.5835,-29.0000,-4.7174,0.665091,0.000000,5,390,0.0139,6.6712,49.4019
1774637874.9363,-6.981214,5.883914,112.378828,-0.2050,0.1230,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.519198,134.2908,-17.9159,-5.0336,0.632849,0.000000,5,390,0.0139,6.6709,49.4019
1774637874.9864,-6.979388,5.896029,111.385502,-0.1760,0.0918,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.507277,133.2975,3.0000,-4.9861,0.733708,0.000000,5,390,0.0139,6.6687,49.4019
1774637875.0364,-6.976293,5.886196,109.774159,-0.2083,0.0665,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.515245,131.6861,-10.6219,-5.2750,0.715956,0.000000,5,390,0.0139,6.6659,49.4019
1774637875.0865,-6.979191,5.896873,108.394731,-0.1549,0.0407,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.506420,130.3067,19.0000,-5.0877,0.818454,0.000000,5,390,0.0139,6.6685,49.4019
1774637875.1364,-6.974745,5.888938,106.365639,-0.1532,0.0257,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.512123,128.2776,0.0133,-5.7426,0.779645,0.000000,5,390,0.0139,6.6643,49.4019
1774637875.1864,-6.968410,5.879945,104.140981,-0.1792,0.0007,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.518102,126.0530,7.6536,-5.7640,0.948623,0.000000,5,390,0.0139,6.6582,49.4019
1774637875.2363,-6.960390,5.869258,101.578363,-0.2037,-0.0286,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.525024,123.4903,14.6644,-5.5434,0.947275,0.000000,5,390,0.0139,6.6506,49.4019
1774637875.2864,-6.964659,5.889928,98.101754,-0.1590,-0.0412,0.0000,-5.816428,7.052884,-21.911976,-0.163926,-1.507441,120.0137,19.0000,-5.3281,0.874565,0.000000,5,390,0.0139,6.6542,49.4019
