# MPC_PARAMS wheelbase_m=1.04 forward_speed_kmh=3 prediction_horizon=15 dt=0.1 use_dbm=1 w_d=1 w_theta=0.5 w_kappa=0.05 w_u=0.2 w_xy=2 w_psi=1 w_vx=0.5 w_vy=0.3 w_omega=0.3 w_delta_c=0.1 w_u_delta=0.2 w_u_torque=1e-05 mass_kg=150 inertia_kgm2=120 lf_m=0.52 lr_m=0.52 Ca_N_rad=25000 Cx_N=30000 mu=0.8
timestamp_sec,x_m,y_m,yaw_deg,vx_mps,vy_mps,omega_rads,ref_x_m,ref_y_m,ref_yaw_deg,ref_kappa,cte_m,heading_err_deg,cmd_steer_deg,cmd_speed_pwm,cmd_torque,mpc_cost,nearest_idx,path_size,path_progress,dist_to_goal_m,path_len_m
1774690549.2018,2.876008,-2.321124,-41.093540,7.3196,0.3113,0.0000,2.452451,-2.385308,-74.748437,-0.179717,0.425523,33.6549,-0.0000,0.0000,0.000000,0.000000,21,390,0.0557,4.0746,49.4019
1774690549.2518,3.168026,-2.554287,-41.128351,7.6791,0.3339,0.0000,2.476233,-2.562529,-83.047139,-0.589848,0.687704,41.9188,-0.0000,0.0000,0.000000,0.000000,22,390,0.0593,3.8178,49.4019
1774690549.3018,3.476167,-2.800114,-41.157156,8.0399,0.3560,0.0000,2.523220,-2.899442,-85.436143,0.033026,0.957829,44.2790,-0.0000,0.0000,0.000000,0.000000,24,390,0.0662,3.5692,49.4019
1774690549.3518,3.797883,-3.056645,-41.187323,8.4002,0.3782,0.0000,2.535659,-3.179011,-86.665900,-0.871029,1.267205,45.4786,-0.0000,0.0000,0.000000,0.000000,26,390,0.0719,3.3397,49.4019
1774690549.4018,4.129964,-3.321357,-41.206120,8.7579,0.3992,0.0000,2.534765,-3.279743,-99.092101,-0.184402,1.581732,57.8860,-0.0000,0.0000,0.000000,0.000000,27,390,0.0739,3.1419,49.4019
1774690549.4518,4.480665,-3.600723,-41.239795,9.1195,0.4240,0.0000,2.514609,-3.532547,-89.652659,-0.370156,1.965607,48.4129,-0.0000,0.0000,0.000000,0.000000,29,390,0.0792,2.9847,49.4019
1774690549.5018,4.845268,-3.890969,-41.262308,9.4851,0.4466,0.0000,2.501390,-3.635057,-104.125825,-1.193080,2.335460,62.8635,0.0000,0.0000,0.000000,0.000000,30,390,0.0813,2.8866,49.4019
1774690549.5520,5.226078,-4.194102,-41.287168,9.8501,0.4679,0.0000,2.501390,-3.635057,-104.125825,-1.193080,2.778736,62.8387,-0.0000,0.0000,0.000000,0.000000,30,390,0.0813,2.8627,49.4019
1774690549.6019,5.617159,-4.505319,-41.306725,10.2114,0.4900,0.0000,7.741823,-2.619664,137.068468,-1.733328,2.827776,-178.3752,-0.0000,0.0000,0.000000,0.000000,373,390,0.9637,2.9234,49.4019
1774690549.6519,6.025334,-4.830048,-41.330665,10.5736,0.5141,0.0000,8.077216,-2.941859,124.461172,-0.469778,2.760224,-165.7918,-0.0000,0.0000,0.000000,0.000000,369,390,0.9539,3.0733,49.4019
1774690549.7019,6.448566,-5.166615,-41.357969,10.9340,0.5387,0.0000,8.528449,-3.373466,141.092133,-0.413722,2.701663,177.5499,-0.0000,0.0000,0.000000,0.000000,364,390,0.9404,3.3092,49.4019
1774690549.7519,6.880099,-5.509712,-41.369162,11.2933,0.5606,0.0000,9.008425,-3.968584,135.469067,-0.137863,2.591210,-176.8382,-0.0000,0.0000,0.000000,0.000000,358,390,0.9237,3.6177,49.4019
1774690549.8019,7.329650,-5.866930,-41.397384,11.6532,0.5867,0.0000,9.208487,-4.254650,127.851035,-1.131253,2.472858,-169.2484,-0.0000,0.0000,0.000000,0.000000,355,390,0.9162,3.9948,49.4019
1774690549.8519,7.797908,-6.238962,-41.413011,12.0186,0.6082,0.0000,9.657695,-4.773745,126.309115,-2.085648,2.366295,-167.7221,-0.0000,0.0000,0.000000,0.000000,349,390,0.9018,4.4328,49.4019
1774690549.9019,8.273268,-6.616591,-41.426492,12.3789,0.6305,0.0000,9.899310,-5.092412,125.530781,-0.956367,2.209041,-166.9573,-0.0000,0.0000,0.000000,0.000000,345,390,0.8934,4.9121,49.4019
1774690549.9518,8.768548,-7.010027,-41.453350,12.7424,0.6566,0.0000,10.487356,-5.831812,123.064531,-0.933669,2.083272,-164.5179,-0.0000,0.0000,0.000000,0.000000,337,390,0.8741,5.4386,49.4019
1774690550.0019,9.274627,-7.411862,-41.476392,13.1024,0.6819,0.0000,10.893025,-6.316357,123.812260,-0.271766,1.954290,-165.2887,0.0000,0.0000,0.000000,0.000000,331,390,0.8612,5.9976,49.4019
1774690550.0519,9.796275,-7.826072,-41.492576,13.4675,0.7049,0.0000,10.991239,-6.426144,136.254364,-1.481566,1.837599,-177.7469,-0.0000,0.0000,0.000000,0.000000,330,390,0.8582,6.5906,49.4019
1774690550.1019,10.327557,-8.247928,-41.510656,13.8264,0.7298,0.0000,11.692916,-7.228471,132.182391,0.625439,1.696305,-173.6930,-0.0000,0.0000,0.000000,0.000000,321,390,0.8359,7.2077,49.4019
1774690550.1518,10.878394,-8.685176,-41.529034,14.1907,0.7552,0.0000,12.210150,-7.879198,123.954755,1.674808,1.554833,-165.4838,-0.0000,0.0000,0.000000,0.000000,315,390,0.8186,7.8580,49.4019
1774690550.2019,11.440287,-9.131145,-41.541440,14.5567,0.7789,0.0000,12.516549,-8.378611,117.733668,-0.534747,1.302822,-159.2751,-0.0000,0.0000,0.000000,0.000000,310,390,0.8061,8.5300,49.4019
1774690550.2519,12.018925,-9.590419,-41.559774,14.9206,0.8029,0.0000,12.911898,-9.066832,119.137234,-0.025605,1.034909,-160.6970,-0.0000,0.0000,0.000000,0.000000,304,390,0.7900,9.2292,49.4019
1774690550.3019,12.610913,-10.060261,-41.571238,15.2859,0.8264,0.0000,13.247243,-9.736828,113.732132,-0.369558,0.712689,-155.3034,-0.0000,0.0000,0.000000,0.000000,298,390,0.7748,9.9504,49.4019
1774690550.3519,13.159014,-10.495239,-41.578473,15.6142,0.8480,0.0000,13.542618,-10.261364,120.696120,-1.535051,0.449245,-162.2746,-0.0000,0.0000,0.000000,0.000000,293,390,0.7623,10.6224,49.4019
1774690550.4019,13.845125,-11.039669,-41.596628,16.0175,0.8749,0.0000,13.960978,-10.992981,113.544276,-0.732117,0.124858,-155.1409,-0.0000,0.0000,0.000000,0.000000,286,390,0.7446,11.4682,49.4019
1774690550.4519,14.477382,-11.541337,-41.600402,16.3791,0.8981,0.0000,14.327113,-11.691670,138.513035,1.193352,-0.212161,179.8866,-0.0000,0.0000,0.000000,0.000000,280,390,0.7281,12.2514,49.4019
1774690550.5019,15.129855,-12.058836,-41.602598,16.7433,0.9217,0.0000,14.553174,-12.257232,111.898368,-1.168809,-0.609066,-153.5010,0.0000,0.0000,0.000000,0.000000,275,390,0.7151,13.0625,49.4019
1774690550.5519,15.790882,-12.583061,-41.606875,17.1063,0.9438,0.0000,14.719124,-12.857989,105.491328,0.056622,-1.106253,-147.0982,-0.0000,0.0000,0.000000,0.000000,270,390,0.7023,13.8868,49.4019
1774690550.6019,16.466837,-13.119036,-41.616579,17.4684,0.9673,0.0000,14.897322,-13.467087,105.342866,0.923441,-1.605669,-146.9594,-0.0000,0.0000,0.000000,0.000000,265,390,0.6893,14.7319,49.4019
1774690550.6519,17.157419,-13.666588,-41.628072,17.8336,0.9920,0.0000,14.992579,-14.063402,99.580092,-1.063405,-2.200689,-141.2082,-0.0000,0.0000,0.000000,0.000000,260,390,0.6769,15.5972,49.4019
1774690550.7019,17.867880,-14.229890,-41.633316,18.1992,1.0145,0.0000,15.275902,-14.986370,99.372556,0.221671,-2.680571,-141.0059,-0.0000,0.0000,0.000000,0.000000,252,390,0.6567,16.4893,49.4019
1774690550.7519,18.595321,-14.806626,-41.639391,18.5664,1.0387,0.0000,15.309058,-15.237133,94.495772,-0.714153,-3.309897,-136.1352,-0.0000,0.0000,0.000000,0.000000,250,390,0.6513,17.4042,49.4019
1774690550.8019,19.334530,-15.392598,-41.647499,18.9358,1.0630,0.0000,15.311133,-15.477135,89.832048,-1.073197,-4.023132,-131.4795,-0.0000,0.0000,0.000000,0.000000,248,390,0.6463,18.3352,49.4019
