# MPC_PARAMS wheelbase_m=1.04 forward_speed_kmh=3 prediction_horizon=15 dt=0.1 use_dbm=1 w_d=1 w_theta=0.5 w_kappa=0.05 w_u=0.2 w_xy=2 w_psi=1 w_vx=0.5 w_vy=0.3 w_omega=0.3 w_delta_c=0.1 w_u_delta=0.2 w_u_torque=1e-05 mass_kg=150 inertia_kgm2=120 lf_m=0.52 lr_m=0.52 Ca_N_rad=25000 Cx_N=30000 mu=0.8
timestamp_sec,x_m,y_m,yaw_deg,vx_mps,vy_mps,omega_rads,ref_x_m,ref_y_m,ref_yaw_deg,ref_kappa,cte_m,heading_err_deg,cmd_steer_deg,cmd_speed_pwm,cmd_torque,mpc_cost,nearest_idx,path_size,path_progress,dist_to_goal_m,path_len_m
1774693884.2230,11.076551,-29.410299,151.336054,-0.1364,-0.0709,0.0000,10.906850,-29.547954,128.866344,-0.065526,-0.218510,22.4697,-0.0000,0.0000,0.000000,0.000000,5,755,0.0059,13.3951,97.1538
1774693884.2730,11.084981,-29.409814,151.365702,-0.1524,-0.0805,0.0000,10.906850,-29.547954,128.866344,-0.065526,-0.225379,22.4994,-0.0000,0.0000,0.000000,0.000000,5,755,0.0059,13.3953,97.1538
1774693884.3230,11.094320,-29.409206,151.382874,-0.1698,-0.0904,0.0000,10.906850,-29.547954,128.866344,-0.065526,-0.233031,22.5165,-0.0000,0.0000,0.000000,0.000000,5,755,0.0059,13.3955,97.1538
1774693884.3731,11.104782,-29.408374,151.397836,-0.1847,-0.1025,0.0000,10.906850,-29.547954,128.866344,-0.065526,-0.241700,22.5315,-0.0000,0.0000,0.000000,0.000000,5,755,0.0059,13.3959,97.1538
1774693884.4231,11.116198,-29.407241,151.410951,-0.2029,-0.1137,0.0000,10.906850,-29.547954,128.866344,-0.065526,-0.251299,22.5446,-0.0000,0.0000,0.000000,0.000000,5,755,0.0059,13.3966,97.1538
1774693884.4730,11.128881,-29.405910,151.425286,-0.2214,-0.1268,0.0000,10.906850,-29.547954,128.866344,-0.065526,-0.262009,22.5589,-45.6722,31.7268,0.884481,0.000000,5,755,0.0059,13.3974,97.1538
1774693884.5228,11.071291,-29.409238,151.312618,-0.1169,-0.0643,0.0000,10.906850,-29.547954,128.866344,-0.065526,-0.215081,22.4463,-44.2258,28.6689,0.825328,0.000000,5,755,0.0059,13.3964,97.1538
1774693884.5730,11.078126,-29.408963,151.345414,-0.1472,-0.0715,0.0000,10.906850,-29.547954,128.866344,-0.065526,-0.220575,22.4791,-50.4529,29.7759,1.154338,0.000000,5,755,0.0059,13.3964,97.1538
1774693884.6229,11.062447,-29.410096,151.312302,-0.1211,-0.0465,0.0000,10.906850,-29.547954,128.866344,-0.065526,-0.207657,22.4460,-49.6475,29.2445,1.065518,0.000000,5,755,0.0059,13.3960,97.1538
1774693884.6730,11.070066,-29.410778,151.333169,-0.1576,-0.0585,0.0000,10.906850,-29.547954,128.866344,-0.065526,-0.213161,22.4668,-51.4081,30.2117,1.140433,0.000000,5,755,0.0059,13.3949,97.1538
1774693884.7229,11.078986,-29.411586,151.356941,-0.1745,-0.0659,0.0000,10.906850,-29.547954,128.866344,-0.065526,-0.219599,22.4906,-50.7531,30.9919,1.059018,0.000000,5,755,0.0059,13.3938,97.1538
1774693884.7730,11.089309,-29.412669,151.436126,-0.2123,-0.0749,0.0000,10.906850,-29.547954,128.866344,-0.065526,-0.226957,22.5698,-49.9673,32.0136,0.994067,0.000000,5,755,0.0059,13.3922,97.1538
1774693884.8229,11.067482,-29.412122,151.358851,-0.1683,-0.0585,0.0000,10.906850,-29.547954,128.866344,-0.065526,-0.210305,22.4925,-49.1880,30.8690,0.909033,0.000000,5,755,0.0059,13.3937,97.1538
1774693884.8730,11.077098,-29.413342,151.392712,-0.1917,-0.0681,0.0000,10.906850,-29.547954,128.866344,-0.065526,-0.217027,22.5264,-51.3571,31.5598,1.025398,0.000000,5,755,0.0059,13.3921,97.1538
1774693884.9229,11.087737,-29.414376,151.418874,-0.2127,-0.0774,0.0000,10.906850,-29.547954,128.866344,-0.065526,-0.224662,22.5525,-50.5257,32.3009,0.970850,0.000000,5,755,0.0059,13.3906,97.1538
