# MPC_PARAMS wheelbase_m=1.04 forward_speed_kmh=3 prediction_horizon=15 dt=0.1 use_dbm=1 w_d=1 w_theta=0.5 w_kappa=0.05 w_u=0.2 w_xy=2 w_psi=1 w_vx=0.5 w_vy=0.3 w_omega=0.3 w_delta_c=0.1 w_u_delta=0.2 w_u_torque=1e-05 mass_kg=150 inertia_kgm2=120 lf_m=0.52 lr_m=0.52 Ca_N_rad=25000 Cx_N=30000 mu=0.8
timestamp_sec,x_m,y_m,yaw_deg,vx_mps,vy_mps,omega_rads,ref_x_m,ref_y_m,ref_yaw_deg,ref_kappa,cte_m,heading_err_deg,cmd_steer_deg,cmd_speed_pwm,cmd_torque,mpc_cost,nearest_idx,path_size,path_progress,dist_to_goal_m,path_len_m
1774691986.1216,10.961080,-31.056783,149.777051,0.0622,0.0269,0.0000,11.262554,-30.001724,125.305984,0.000000,0.855790,24.4711,-0.0000,0.0000,0.000000,0.000000,0,755,0.0000,11.7565,97.1538
1774691986.1716,10.957376,-31.056852,149.761857,0.0680,0.0341,0.0000,11.262554,-30.001724,125.305984,0.000000,0.858853,24.4559,2.0000,0.0000,0.000000,0.000000,0,755,0.0000,11.7566,97.1538
1774691986.2216,10.962861,-31.057348,149.751415,0.0571,0.0281,0.0000,11.262554,-30.001724,125.305984,0.000000,0.854663,24.4454,-0.0000,0.0000,0.000000,0.000000,0,755,0.0000,11.7558,97.1538
1774691986.2716,10.959253,-31.057446,149.719343,0.0657,0.0330,0.0000,11.262554,-30.001724,125.305984,0.000000,0.857664,24.4134,-0.0000,0.0000,0.000000,0.000000,0,755,0.0000,11.7559,97.1538
1774691986.3216,10.955090,-31.057707,149.704186,0.0744,0.0435,0.0000,11.262554,-30.001724,125.305984,0.000000,0.861212,24.3982,-0.0000,0.0000,0.000000,0.000000,0,755,0.0000,11.7559,97.1538
1774691986.3716,10.950361,-31.058264,149.681682,0.0838,0.0506,0.0000,11.262554,-30.001724,125.305984,0.000000,0.865393,24.3757,-0.0000,0.0000,0.000000,0.000000,0,755,0.0000,11.7556,97.1538
1774691986.4217,10.959851,-31.058366,149.671465,0.0667,0.0368,0.0000,11.262554,-30.001724,125.305984,0.000000,0.857708,24.3655,-0.0000,0.0000,0.000000,0.000000,0,755,0.0000,11.7550,97.1538
1774691986.4716,10.955596,-31.058595,149.659872,0.0768,0.0433,0.0000,11.262554,-30.001724,125.305984,0.000000,0.861312,24.3539,-0.0000,0.0000,0.000000,0.000000,0,755,0.0000,11.7550,97.1538
1774691986.5216,10.950596,-31.059103,149.624328,0.0860,0.0558,0.0000,11.262554,-30.001724,125.305984,0.000000,0.865686,24.3183,-0.0000,0.0000,0.000000,0.000000,0,755,0.0000,11.7548,97.1538
1774691986.5717,10.968564,-31.059004,149.630442,0.0499,0.0307,0.0000,11.262554,-30.001724,125.305984,0.000000,0.850966,24.3245,-0.0000,0.0000,0.000000,0.000000,0,755,0.0000,11.7538,97.1538
1774691986.6217,10.965312,-31.059319,149.610162,0.0578,0.0356,0.0000,11.262554,-30.001724,125.305984,0.000000,0.853802,24.3042,-0.0000,0.0000,0.000000,0.000000,0,755,0.0000,11.7537,97.1538
1774691986.6716,10.961489,-31.059745,149.600341,0.0670,0.0406,0.0000,11.262554,-30.001724,125.305984,0.000000,0.857168,24.2944,2.0000,0.0000,0.000000,0.000000,0,755,0.0000,11.7535,97.1538
1774691986.7218,10.957117,-31.060199,149.585805,0.0774,0.0459,0.0000,11.262554,-30.001724,125.305984,0.000000,0.860998,24.2798,-0.0000,0.0000,0.000000,0.000000,0,755,0.0000,11.7533,97.1538
