# MPC_PARAMS wheelbase_m=1.04 forward_speed_kmh=3 prediction_horizon=15 dt=0.1 use_dbm=1 w_d=1 w_theta=0.5 w_kappa=0.05 w_u=0.2 w_xy=2 w_psi=1 w_vx=0.5 w_vy=0.3 w_omega=0.3 w_delta_c=0.1 w_u_delta=0.2 w_u_torque=1e-05 mass_kg=150 inertia_kgm2=120 lf_m=0.52 lr_m=0.52 Ca_N_rad=25000 Cx_N=30000 mu=0.8
timestamp_sec,x_m,y_m,yaw_deg,vx_mps,vy_mps,omega_rads,ref_x_m,ref_y_m,ref_yaw_deg,ref_kappa,cte_m,heading_err_deg,cmd_steer_deg,cmd_speed_pwm,cmd_torque,mpc_cost,nearest_idx,path_size,path_progress,dist_to_goal_m,path_len_m
1774633804.9820,-0.361976,-0.119679,-112.184694,0.1758,-0.3104,0.0000,-0.399132,-0.039442,50.467669,1.232181,-0.079729,-162.6524,-0.0000,0.0000,0.000000,0.000000,264,282,0.9387,1.7093,35.2289
1774633805.0321,-0.380722,-0.121808,-112.160493,0.1962,-0.3424,0.0000,-0.399132,-0.039442,50.467669,1.232181,-0.066626,-162.6282,-0.0000,0.0000,0.000000,0.000000,264,282,0.9387,1.7263,35.2289
1774633805.0821,-0.340000,-0.117262,-112.198063,0.1566,-0.2768,0.0000,-0.399132,-0.039442,50.467669,1.232181,-0.095140,-162.6657,-0.0000,0.0000,0.000000,0.000000,264,282,0.9387,1.6894,35.2289
1774633805.1322,-0.356796,-0.119283,-112.167390,0.1767,-0.3079,0.0000,-0.399132,-0.039442,50.467669,1.232181,-0.083472,-162.6351,-0.0000,0.0000,0.000000,0.000000,264,282,0.9387,1.7047,35.2289
1774633805.1821,-0.375674,-0.121498,-112.141795,0.1951,-0.3417,0.0000,-0.399132,-0.039442,50.467669,1.232181,-0.070323,-162.6095,-0.0000,0.0000,0.000000,0.000000,264,282,0.9387,1.7219,35.2289
1774633805.2321,-0.396240,-0.123855,-112.115575,0.2155,-0.3752,0.0000,-0.399132,-0.039442,50.467669,1.232181,-0.055961,-162.5832,-0.0000,0.0000,0.000000,0.000000,264,282,0.9387,1.7406,35.2289
1774633805.2821,-0.348077,-0.118281,-112.160218,0.1668,-0.2977,0.0000,-0.399132,-0.039442,50.467669,1.232181,-0.089559,-162.6279,-0.0000,0.0000,0.000000,0.000000,264,282,0.9387,1.6968,35.2289
1774633805.3321,-0.365924,-0.120273,-112.131016,0.1841,-0.3274,0.0000,-0.399132,-0.039442,50.467669,1.232181,-0.077063,-162.5987,-0.0000,0.0000,0.000000,0.000000,264,282,0.9387,1.7130,35.2289
1774633805.3821,-0.331278,-0.117513,-112.161682,0.1492,-0.2692,0.0000,-0.399132,-0.039442,50.467669,1.232181,-0.102027,-162.6294,1.0000,0.0000,0.000000,0.000000,264,282,0.9387,1.6821,35.2289
1774633805.4321,-0.347663,-0.119353,-112.136371,0.1684,-0.2993,0.0000,-0.399132,-0.039442,50.467669,1.232181,-0.090561,-162.6040,-0.0000,0.0000,0.000000,0.000000,264,282,0.9387,1.6970,35.2289
1774633805.4822,-0.365533,-0.121369,-112.106688,0.1863,-0.3303,0.0000,-0.399132,-0.039442,50.467669,1.232181,-0.078062,-162.5744,-0.0000,0.0000,0.000000,0.000000,264,282,0.9387,1.7132,35.2289
1774633805.5321,-0.385404,-0.123576,-112.079975,0.2042,-0.3624,0.0000,-0.399132,-0.039442,50.467669,1.232181,-0.064140,-162.5476,-0.0000,0.0000,0.000000,0.000000,264,282,0.9387,1.7313,35.2289
